sent_at_unix_ns,latency_us,status
1775317817421606401,3088,ok
1775317817425809956,1701,ok
1775317817426859785,1848,ok
1775317817423768108,6109,ok
1775317817432076859,1647,ok
1775317817436872691,2038,ok
1775317817440021959,1619,ok
1775317817438918949,4270,ok
1775317817441112509,2145,ok
1775317817441639641,3807,ok
1775317817442733553,3682,ok
1775317817445441707,1659,ok
1775317817444342375,3406,ok
1775317817448844511,2025,ok
1775317817450852126,1576,ok
1775317817449934029,5199,ok
1775317817451954621,3513,ok
1775317817453589911,2022,ok
1775317817454689467,2304,ok
1775317817459139828,1674,ok
1775317817460241331,1566,ok
1775317817461793863,1859,ok
1775317817462866255,2380,ok
1775317817463655272,2716,ok
1775317817464740714,4338,ok
1775317817470155474,2519,ok
1775317817471237391,3472,ok
1775317817474714198,1694,ok
1775317817475795754,1623,ok
1775317817477406159,2011,ok
1775317817483496810,1722,ok
1775317817488433238,1404,ok
1775317817488364525,4957,ok
1775317817491989799,1653,ok
1775317817494723181,1488,ok
1775317817496210421,1412,ok
1775317817495815223,2348,ok
1775317817499242403,3237,ok
1775317817503554076,2403,ok
1775317817501399435,6009,ok
1775317817505959947,1475,ok
1775317817504646004,3455,ok
1775317817507046649,1778,ok
1775317817510990651,3126,ok
1775317817509900381,4662,ok
1775317817516707476,2049,ok
1775317817525997828,2505,ok
1775317817524901571,3678,ok
1775317817527091737,1534,ok
1775317817529704442,3801,ok
1775317817533502772,1771,ok
1775317817532864595,2864,ok
1775317817542860504,1551,ok
1775317817545549497,1570,ok
1775317817546642854,1473,ok
1775317817548117411,1751,ok
1775317817549196866,2083,ok
1775317817550937989,1386,ok
1775317817552326639,1816,ok
1775317817553410738,2841,ok
1775317817556234808,2195,ok
1775317817554131573,4839,ok
1775317817558428311,1779,ok
1775317817561371508,1403,ok
1775317817560072161,2792,ok
1775317817565002408,2711,ok
1775317817567185144,3448,ok
1775317817566092298,4931,ok
1775317817569868290,1465,ok
1775317817571333087,3449,ok
1775317817580079759,1641,ok
1775317817577925967,4426,ok
1775317817580147382,3413,ok
1775317817585711476,3248,ok
1775317817588873014,1455,ok
1775317817590030870,2988,ok
1775317817594172909,1641,ok
1775317817595809726,2035,ok
1775317817594098466,3792,ok
1775317817597849564,1619,ok
1775317817595193374,4469,ok
1775317817600740808,3349,ok
1775317817603910123,2737,ok
1775317817605251871,3381,ok
1775317817607815355,3014,ok
1775317817610790666,1863,ok
1775317817611940692,2036,ok
1775317817612662406,2846,ok
1775317817615075059,3668,ok
1775317817616678434,2861,ok
1775317817619534916,3696,ok
1775317817623233685,3708,ok
1775317817624318556,3530,ok
1775317817625409785,3618,ok
1775317817626963553,3632,ok
1775317817631692094,2134,ok
1775317817630107481,4321,ok
1775317817634433552,2958,ok
1775317817635510116,2716,ok
1775317817638216495,4480,ok
1775317817646845006,2049,ok
1775317817648908268,2181,ok
1775317817651044422,1869,ok
1775317817652897468,1724,ok
1775317817654000294,2721,ok
1775317817656728634,2829,ok
1775317817658864204,2133,ok
1775317817660635680,3464,ok
1775317817664099527,1770,ok
1775317817666947555,3232,ok
1775317817667026472,3427,ok
1775317817668037922,5617,ok
1775317817669130819,5008,ok
1775317817680283325,2012,ok
1775317817681372773,1655,ok
1775317817682282210,3136,ok
1775317817683026740,4542,ok
1775317817688652961,2421,ok
1775317817689739015,2820,ok
1775317817691073830,2203,ok
1775317817690828025,4446,ok
1775317817699422374,1839,ok
1775317817700512009,3376,ok
1775317817701332496,3530,ok
1775317817704863962,1517,ok
1775317817711524260,2620,ok
1775317817712610053,3861,ok
1775317817716287770,2328,ok
1775317817717540307,2011,ok
1775317817718614854,1966,ok
1775317817721651825,1915,ok
1775317817723567430,1975,ok
1775317817725537274,1589,ok
1775317817724655622,3890,ok
1775317817726632018,2050,ok
1775317817728708708,2217,ok
1775317817728685349,2308,ok
1775317817730845660,1567,ok
1775317817732075905,3534,ok
1775317817734562504,2893,ok
1775317817737446058,2918,ok
1775317817738536161,4265,ok
1775317817744877324,1644,ok
1775317817747594230,1671,ok
1775317817748684885,1933,ok
1775317817745959205,4683,ok
