sent_at_unix_ns,latency_us,status
1775241386039395843,3908,ok
1775241386041674292,1988,ok
1775241386042807939,2985,ok
1775241386043658853,2505,ok
1775241386047236296,1678,ok
1775241386049990828,2681,ok
1775241386052143666,3085,ok
1775241386057378618,3399,ok
1775241386059533406,1640,ok
1775241386061162619,3727,ok
1775241386063328181,3595,ok
1775241386068065098,2252,ok
1775241386069147824,4157,ok
1775241386070239171,4511,ok
1775241386073291012,1833,ok
1775241386079279444,3043,ok
1775241386080364169,2276,ok
1775241386081455134,1793,ok
1775241386085402216,2822,ok
1775241386089315465,2239,ok
1775241386090406194,1970,ok
1775241386088220668,4635,ok
1775241386092448907,1944,ok
1775241386095465812,3268,ok
1775241386096556757,2526,ok
1775241386097645807,4311,ok
1775241386101944199,1891,ok
1775241386107122683,1589,ok
1775241386106033565,3340,ok
1775241386108697048,2801,ok
1775241386108217143,4028,ok
1775241386111500168,1754,ok
1775241386114326794,2416,ok
1775241386118858554,2212,ok
1775241386122148111,3913,ok
1775241386125309465,1822,ok
1775241386128205893,3415,ok
1775241386132689662,4009,ok
1775241386134848618,1880,ok
1775241386136632580,1603,ok
1775241386139369427,1880,ok
1775241386142323054,1437,ok
1775241386143403368,3825,ok
1775241386144840180,3492,ok
1775241386148322860,3585,ok
1775241386150482485,2226,ok
1775241386153781134,2165,ok
1775241386159183017,2295,ok
1775241386158093130,3799,ok
1775241386164044985,2902,ok
1775241386165126789,2391,ok
1775241386167503963,1510,ok
1775241386168595482,1710,ok
1775241386170102361,2190,ok
1775241386171379375,2246,ok
1775241386172381012,3310,ok
1775241386175673828,2677,ok
1775241386174706490,3899,ok
1775241386177856309,3387,ok
1775241386180781593,2228,ok
1775241386179683565,3815,ok
1775241386184582676,3093,ok
1775241386183499246,4243,ok
1775241386186764035,1863,ok
1775241386185673074,4698,ok
1775241386187675901,3778,ok
1775241386195607115,1544,ok
1775241386199311513,1648,ok
1775241386198226027,3452,ok
1775241386200946512,1610,ok
1775241386200404840,2912,ok
1775241386205459887,1707,ok
1775241386206549108,2142,ok
1775241386208249543,1734,ok
1775241386209857276,3445,ok
1775241386212093425,1721,ok
1775241386213186128,2253,ok
1775241386214858010,1721,ok
1775241386216563266,1724,ok
1775241386217655928,3612,ok
1775241386219385234,3231,ok
1775241386220480298,3335,ok
1775241386222339950,1643,ok
1775241386223698259,1484,ok
1775241386226259628,2201,ok
1775241386229536483,1713,ok
1775241386232322473,1323,ok
1775241386238978591,1975,ok
1775241386234726002,6350,ok
1775241386239041133,2220,ok
1775241386237886419,3964,ok
1775241386243994109,2590,ok
1775241386252731650,2244,ok
1775241386253823430,3205,ok
1775241386254910319,3262,ok
1775241386257027807,4864,ok
1775241386264033366,3327,ok
1775241386265129223,3159,ok
1775241386269365152,3782,ok
1775241386273128154,1688,ok
1775241386274219981,2386,ok
1775241386274800697,3255,ok
1775241386275897953,2509,ok
1775241386278049472,4065,ok
1775241386284267800,2082,ok
1775241386286337606,2139,ok
1775241386285351378,3202,ok
1775241386287429610,2777,ok
1775241386294344820,3738,ok
1775241386297501750,1722,ok
1775241386298066244,2406,ok
1775241386307711070,1817,ok
1775241386307818058,2326,ok
1775241386306625367,4876,ok
1775241386312581254,3460,ok
1775241386314854961,1891,ok
1775241386313665601,3180,ok
1775241386314756296,3523,ok
1775241386318021579,1665,ok
1775241386319356455,1972,ok
1775241386317925851,3573,ok
1775241386320767354,1978,ok
1775241386323829289,1663,ok
1775241386322582642,3862,ok
1775241386329584844,1433,ok
1775241386334167068,3385,ok
1775241386336250048,1536,ok
1775241386339864996,2098,ok
1775241386341962269,1932,ok
1775241386343051801,1804,ok
1775241386348001259,2238,ok
1775241386349089845,4532,ok
1775241386350176821,3634,ok
1775241386351344288,3902,ok
1775241386354862523,1876,ok
1775241386359888579,1537,ok
1775241386366567654,3463,ok
1775241386371109725,2162,ok
1775241386373254773,1552,ok
1775241386372200467,3142,ok
1775241386381514537,1719,ok
1775241386384307200,2885,ok
1775241386385394620,2084,ok
1775241386387175859,3161,ok
1775241386390319834,3525,ok
1775241386389625341,4854,ok
1775241386394487634,2064,ok
1775241386393582734,3339,ok
1775241386391423529,6265,ok
1775241386396534801,2780,ok
1775241386397687813,4091,ok
1775241386400395566,4126,ok
1775241386398778929,6384,ok
1775241386401489375,3948,ok
1775241386402859705,3510,ok
1775241386404508594,2369,ok
1775241386406377690,2121,ok
1775241386406863098,2222,ok
1775241386411231743,2807,ok
1775241386411292715,3271,ok
1775241386414051242,3372,ok
1775241386415641865,3725,ok
1775241386418582902,3313,ok
1775241386421527411,1889,ok
1775241386420440616,4352,ok
1775241386422968931,1983,ok
1775241386424521065,2375,ok
1775241386426013797,2776,ok
1775241386433094688,1732,ok
1775241386430935336,4905,ok
1775241386434177835,3510,ok
1775241386435826887,3200,ok
1775241386437671139,2363,ok
1775241386440024001,2363,ok
1775241386438760996,5081,ok
1775241386442187704,3244,ok
1775241386443472146,2386,ok
1775241386446939867,1780,ok
1775241386448024595,2939,ok
1775241386452038780,1662,ok
1775241386453118385,2230,ok
1775241386454859214,1918,ok
1775241386457909519,1920,ok
1775241386454963717,5034,ok
1775241386459818465,2276,ok
1775241386459822268,2427,ok
1775241386457853977,4449,ok
1775241386462083114,4244,ok
1775241386464454121,2965,ok
1775241386467418189,1559,ok
1775241386470054906,1917,ok
1775241386474112361,2276,ok
1775241386478533040,1624,ok
1775241386481235590,1634,ok
1775241386487013740,3930,ok
1775241386489175454,2143,ok
1775241386491319620,2224,ok
1775241386496688737,2744,ok
1775241386497783096,3515,ok
1775241386502372455,1640,ok
1775241386503459361,1940,ok
1775241386507628405,1522,ok
1775241386507557765,1762,ok
1775241386506470702,5420,ok
1775241386511488141,1859,ok
1775241386510400804,3164,ok
1775241386516711248,3476,ok
1775241386518857689,1528,ok
1775241386522526501,3375,ok
1775241386525774352,1722,ok
1775241386524681482,5537,ok
1775241386534356054,2469,ok
1775241386535442959,2717,ok
1775241386538168533,3234,ok
1775241386540306161,2508,ok
1775241386541381617,3978,ok
1775241386542486130,5315,ok
1775241386543884332,4487,ok
1775241386547505089,2993,ok
1775241386549446711,2399,ok
1775241386550498122,2251,ok
1775241386552749844,4596,ok
1775241386554909957,3720,ok
1775241386557059753,1772,ok
1775241386560995001,3803,ok
